sourcePostId,sourceUrl,publishedAt,brand,model,year,trim,mileage,engine,powerHp,consumption,transmission,drive,safety,interior,damage,vin,auctionDate,estimatedBidUsd,priceRub,customsRub,lot,calculationDate,photos,rawText
3533,https://t.me/AutoWorld_Georgia/3533,2026-09-01T07:31:31+00:00,Chevrolet,Trax,2023,SP,62000км,"1,2l на 139HP",139.0,,АКПП-6,передний FWD,"""завод""",текстиль,,KL77LFE22RC081143,,,,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/main-1790168443581-main-1-f62fc81e.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168444323-other-2-e178aa00.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168444924-other-3-f98c5f93.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168445509-other-4-fd2a6c09.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168446055-other-5-dbb7e9fa.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168446366-other-6-6ffb609d.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168446835-other-7-69ba7516.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3533/other-1790168447403-other-8-7c3238b0.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
Chevrolet Trax 06/23г.
🚗
✨
1️⃣
🤩
7️⃣
9️⃣
🔤
🔤
🔤
🔹
комплектация SP
🔹
Пробег:  62000км
👍
🔹
Двигатель: 1,2l на 139HP
🐎
💨
🔹
Коробка: АКПП-6
🔹
Привод: передний FWD
🔹
Безопасность ""завод""
🔹
Салон текстиль
🛋
📜
История автомобиля
👇
KL77LFE22RC081143
🔎
1908АРГ0844
расчёт 01.09.2026г.
💵
87"
3543,https://t.me/AutoWorld_Georgia/3543,2026-09-01T07:52:00+00:00,Honda,HR-V,2022,SPORT,39000км,"1,8l на 141HP",141.0,,CVT,полный AWD,"""завод""",текстиль,,3CZRU6H13NM770526,,,,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/main-1790168447731-main-1-f8bb3e3a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168448282-other-2-385a8933.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168448646-other-3-07f02399.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168448974-other-4-f592af64.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168449337-other-5-46017cd3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168449667-other-6-5448b644.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168450233-other-7-76469aa7.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3543/other-1790168450760-other-8-cb62e47e.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
Honda HR-V 03/22г.
🚗
✨
2️⃣
🤩
2️⃣
5️⃣
🔤
🔤
🔤
🔹
комплектация SPORT
🔹
Пробег:  39000км
👍
🔹
Двигатель: 1,8l на 141HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: полный AWD
🔹
Безопасность ""завод""
🔹
Салон текстиль
🛋
📜
История автомобиля
👇
3CZRU6H13NM770526
🔎
1908АРГ1534
расчёт 01.09.2026г.
💵
87"
3553,https://t.me/AutoWorld_Georgia/3553,2026-09-01T08:13:01+00:00,NISSAN,Rogue Sport (Qashqai),2023,SV,41000км,"2,0l на 141HP",141.0,,CVT,полный AWD,"""завод""",текстиль,,JN1BJ1BW3PW106871,,,,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/main-1790168451073-main-1-71e71676.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168451501-other-2-f605653a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168452064-other-3-38541bf0.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168452643-other-4-3b1c93d0.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168452978-other-5-b9d412ac.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168453305-other-6-f50e663f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168453862-other-7-272f196c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3553/other-1790168454238-other-8-119e3e71.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
NISSAN Rogue Sport (Qashqai) 06/23
🚗
✨
2️⃣
🤩
2️⃣
9️⃣
🔤
🔤
🔤
🔹
комплектация SV
🔹
Пробег:  41000км
👍
🔹
Двигатель: 2,0l на 141HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: полный AWD
🔹
Безопасность ""завод""
🔹
Салон текстиль
🛋
📜
История автомобиля
👇
JN1BJ1BW3PW106871
🔎
2008АРГ0805
расчёт 01.09.2026г.
💵
87"
3561,https://t.me/AutoWorld_Georgia/3561,2026-09-01T08:36:33+00:00,,,,LXS,♦️,"2,0l на 147HP",147.0,,CVT,передний FWD,"""завод""",текстиль,,3KPFT4DE8TE274511,,,2720000,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/main-1790168454818-main-1-98320974.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168455403-other-2-c66f96e7.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168455944-other-3-3f619587.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168456276-other-4-66c03ba4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168456582-other-5-b472158c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168457133-other-6-a7275749.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168457557-other-7-9ea2314e.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3561/other-1790168458207-other-8-5c25a3f6.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
*
🌟
KIA K4 01/26г.
🚗
✨
2️⃣
🤩
5️⃣
5️⃣
🔤
🔤
🔤
**
🔹
комплектация LXS
🔹
Пробег:
♦️
3000км
👍
🔹
Двигатель: 2,0l на 147HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: передний FWD
🔹
Безопасность ""завод""
🔹
Салон текстиль
🛋
📜
История автомобиля
👇
3KPFT4DE8TE274511
🔎
2008АРГ2306
расчёт 01.09.2026г.
💵
87
* автомобиль аукционный без ремонта!
** стоимость автомобиля под ключ с ремонтом 2,72 млн.руб."
3569,https://t.me/AutoWorld_Georgia/3569,2026-09-01T08:57:30+00:00,Chevrolet,Trailblazer,2023,ACTIVE,72000км,"1,3l на 155HP",155.0,,АКПП-9,полный AWD,"""завод""",кожа,,KL79MSSL4PB207923,,,,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/main-1790168458609-main-1-db72c64a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168459435-other-2-17dd652c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168459976-other-3-6b1dba60.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168460609-other-4-d53aee15.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168461182-other-5-74d5aa07.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168461785-other-6-b32e09d3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168462334-other-7-b4382800.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3569/other-1790168462654-other-8-de7907b9.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
Chevrolet Trailblazer 06/23г.
🚗
✨
2️⃣
🤩
1️⃣
6️⃣
🔤
🔤
🔤
🔹
комплектация ACTIVE
🔹
Пробег:  72000км
👍
🔹
Двигатель: 1,3l на 155HP
🐎
💨
🔹
Коробка: АКПП-9
🔹
Привод: полный AWD
🔹
Безопасность ""завод""
🔹
Салон кожа
🛋
📜
История автомобиля
👇
KL79MSSL4PB207923
🔎
2208АРГ2249
расчёт 01.09.2026г.
💵
87"
3577,https://t.me/AutoWorld_Georgia/3577,2026-09-01T09:30:42+00:00,HYUNDAI,ELANTRA,2022,LIMITED,70000км,2.0l на 147HP,147.0,,CVT,передний FWD,"""90% завод""",кожа,,KMHLP4AG7NU333089,,,,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/main-1790168463231-main-1-ffbf196d.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168463811-other-2-8f37c75b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168464372-other-3-729b90a1.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168464783-other-4-89fb8583.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168465379-other-5-bedbab9b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168465719-other-6-76f6b1e8.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168466270-other-7-0053066c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3577/other-1790168466630-other-8-8891c148.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
HYUNDAI ELANTRA 02/22г.
🚗
✨
2️⃣
🤩
1️⃣
🔤
🔤
🔤
🔹
комплектация LIMITED
🔹
Пробег:  70000км
👍
🔹
Двигатель: 2.0l на 147HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод:  передний FWD
🔹
Безопасность ""90% завод""
🔹
Салон кожа
🛋
📜
История автомобиля
👇
KMHLP4AG7NU333089
🔎
2808АРГ1442
расчёт 01.09.2026г.
💵
87"
3586,https://t.me/AutoWorld_Georgia/3586,2026-09-01T09:55:13+00:00,Buick,Envista,2023,Preferred,53500км,"1,2l на 139HP",139.0,,АКПП-6,передний FWD,"""завод""",комбинированный,,KL47LAE2XRB021326,,,,,,01.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/main-1790168467205-main-1-4b6b599a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168467746-other-2-3a7a717a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168468188-other-3-dd662752.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168468524-other-4-ede9273f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168468865-other-5-1a4d31bd.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168469203-other-6-735f4351.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168469788-other-7-e74d2a07.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3586/other-1790168470134-other-8-cc2e4d15.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
Buick Envista 06/23г.
🚗
✨
2️⃣
🤩
1️⃣
5️⃣
🔤
🔤
🔤
🔹
комплектация Preferred
🔹
Пробег:  53500км
👍
🔹
Двигатель: 1,2l на 139HP
🐎
💨
🔹
Коробка: АКПП-6
🔹
Привод: передний FWD
🔹
Безопасность ""завод""
🔹
Салон комбинированный
🛋
📜
История автомобиля
👇
KL47LAE2XRB021326
🔎
0109АРГ1207
расчёт 01.09.2026г.
💵
87"
3597,https://t.me/AutoWorld_Georgia/3597,2026-09-02T09:31:12+00:00,на,,2009,LT,7800ml,1.3l на 155HP,155.0,,АКПП -9,полный AWD,,текстиль,"""сзади слева""",KL79MRSL9TB118139,03.09.2026,,2600000,,45556849,02.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/main-1790168470532-main-1-e4b8a764.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/other-1790168471112-other-2-147c1dbb.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/other-1790168471576-other-3-21432bf1.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/other-1790168472016-other-4-f0e9add2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/other-1790168472547-other-6-924e3f83.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/other-1790168473168-other-7-7693b7e4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3597/other-1790168473840-other-8-01a6d116.jpg,"👤
👤
👤
👤
👤
👤
👤
на 03.09
🌟
Chevrolet Trailblazer 11/25г.
✨
2️⃣
🤩
4️⃣
4️⃣
🔤
🔤
🔤
*
🔹
комплектация
LT
🔹
Пробег:
7800ml
👍
🔹
Двигатель:
1.3l на 155HP
🐎
💨
🔹
Коробка
: АКПП -9
🔹
Привод:
полный AWD
🔹
Салон текстиль
🛋
🔹
Повреждения ""сзади слева""
📜
История автомобиля
👇
KL79MRSL9TB118139
⚖️
🛎
Торги 03.09.2026г.
+- 10000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 2.6 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
600 тыс.руб.
🔎
👹
45556849
расчёт 02.09.2026г.
💵
87"
3607,https://t.me/AutoWorld_Georgia/3607,2026-09-02T10:31:27+00:00,на,,2009,BLUE,🔺,"1.6 hybrid , на 139HP",139.0,4.0л/100км,Робот-6,передний FWD,"""",текстиль,"""сзади справа""",KMHLM4DJ3TU200424,03.09.2026,,2800000,,64558766,02.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/main-1790168474624-main-1-0be39c69.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168475287-other-2-de08b45a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168475889-other-3-683a7d2f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168476466-other-4-b980f862.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168477062-other-5-3e19fdaa.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168477617-other-6-7513b99c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168477945-other-7-e58dcfa4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3607/other-1790168478513-other-8-47fca590.jpg,"👤
👤
👤
👤
👤
👤
👤
на 03.09
🌟
Hyundai Elantra 01/26г.
✨
2️⃣
🤩
6️⃣
3️⃣
🔤
🔤
🔤
*
🔹
комплектация
BLUE
🔹
Пробег:
🔺
1500ml
👍
🔹
Двигатель:
1.6 hybrid , на 139HP
🐎
💨
🔹
Расход
: 4.0л/100км
🔺
🔹
Коробка
: Робот-6
🔹
Привод:
передний FWD
🔹
Безопасность: ""
завод
""
🛡
🔹
Салон текстиль
🛋
🔹
Повреждения ""сзади справа""
📜
История автомобиля
👇
KMHLM4DJ3TU200424
⚖️
🛎
Торги 03.09.2026г.
+- 11000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 2.8 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
715 тыс.руб.
🔎
👾
64558766
расчёт 02.09.2026г.
💵
87"
3617,https://t.me/AutoWorld_Georgia/3617,2026-09-03T07:08:37+00:00,HYUNDAI,ELANTRA,2021,LIMITED,86600ml,"1.6 hybrid, на 139HP",139.0,4.0л/100км,Робот-6,передний FWD,"""завод""",кожа,,KMHLN4AJ2NU017438,,,,,,03.09.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/main-1790168478832-main-1-b49408e9.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168479231-other-2-c6b486da.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168479808-other-3-8a4499f1.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168480230-other-4-7a1a5356.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168480824-other-5-2e79dd8c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168481431-other-6-4445f256.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168482069-other-7-d5989c0b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-3617/other-1790168482802-other-8-ff4650b4.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
HYUNDAI ELANTRA 10/21г.
🚗
✨
2️⃣
🤩
1️⃣
2️⃣
🔤
🔤
🔤
🔹
комплектация
LIMITED
🔹
Пробег:
86600ml
👍
🔹
Двигатель:
1.6 hybrid, на 139HP
🐎
🐎
💨
🔹
Расход:
4.0л/100км
❗️
🔹
Коробка:
Робот-6
🔹
Привод:  передний FWD
🔹
Безопасность ""завод""
🔹
Салон кожа
🛋
, цифровая приборка, электропривод и вентиляция сидений, люк
📜
История автомобиля
👇
KMHLN4AJ2NU017438
🔎
11МА7722321
расчёт 03.09.2026г.
💵
88"
