sourcePostId,sourceUrl,publishedAt,origin,brand,model,year,trim,mileage,engine,powerHp,consumption,transmission,drive,safety,interior,damage,vin,auctionDate,estimatedBidUsd,priceRub,customsRub,lot,calculationDate,photos,rawText
65,https://t.me/AutoWorld_Georgia/65,2025-09-01T04:10:38+00:00,,Volkswagen,Tiguan,2021,,"30 тыс.миль, полный привод 4WD. Стильный дизайн и комфортный интерьер. Отличный выбор для приключений!",,,,,4WD. Стильный дизайн и комфортный интерьер. Отличный выбор для приключений!,,,,,,,,,,,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-65/main-1790167887484-main-1-b325df4b.jpg,"Volkswagen Tiguan 2021 года!
🚗
Пробег 30 тыс.миль, полный привод 4WD. Стильный дизайн и комфортный интерьер. Отличный выбор для приключений!
🌟
Цена: 1,98
🍋
рублей. Не упустите шанс!
🛣️
❤️"
77,https://t.me/AutoWorld_Georgia/77,2025-09-14T07:13:51+00:00,,KIA,Seltos,2022,,"58,000 км (36200 миль)",1.6 Turbo на 175 л.с.,175.0,,,полный AWD,,кожа!,,,,,,,,,,"🌟
KIA Seltos 05/22г. в комплектации SX TURBO!
🚗
✨
🔹
Пробег: 58,000 км (36200 миль)
🔹
Двигатель: 1.6 Turbo на 175 л.с.
💨
🔹
Привод: полный AWD
🌧️
🏞️
🔹
Кузов в идеальном состоянии – ""в родне""!
🚘
👌
🔹
Салон: кожа!
🛋️
💖
📜
Аукционная история минимальная, предоставлю по запросу!
📞
📅
💰
Цена: 2,410,000 руб. под ключ!
🔑
Не упустите шанс стать владельцем этого замечательного автомобиля до отмены льготного утильсбора!
🚀
✨
#01-1181154ИС"
85,https://t.me/AutoWorld_Georgia/85,2025-09-14T07:30:25+00:00,,KIA,Seltos,2020,,всего 11.000ml (17.600км),бензиновый 2.0l на 147лс с АКПП,147.0,,,передний FWD,целая!!!!,комбинированный – комфорт и стиль!,!!!!),,,,,,,,,"🌟
KIA Seltos 10/20г.
🚗
✨
🔹
Пробег: всего 11.000ml (17.600км)
🔹
Двигатель бензиновый 2.0l на 147лс с АКПП
💨
🔹
Привод: передний FWD
🌧️
🏞️
🔹
Безопасность целая!!!!
🚘
👌
🔹
Салон комбинированный – комфорт и стиль!
🛋️
💖
📜
Аукционную историю автомобиля предоставлю по запросу!  (Лёгкие повреждения!!!!)
💰
Цена: всего 2,050,000 руб. под ключ!
🔑
(торг
🇬🇪
)
Не упустите шанс стать владельцем этого замечательного автомобиля!
🚀
✨
📞
📅
#91_1180800ИС"
102,https://t.me/AutoWorld_Georgia/102,2025-09-15T18:16:40+00:00,,Audi,Q3,2021,"Панорама, память сидений, подогрев сидений, адаптивный свет, бесключевой доступ на всех дверях, диски 19' с новой резиной, электрорегулировка водительского и пассажирского сидений. Адаптивный круиз контроль, дистроник, удержание в полосе, предупреждение столкновений.",28000ML/ 45 т км.,,184.0,,,,,,минимальные!,,,,,,,,,"Audi Q3 06/21г.
2,0л. 184л.с. AWD
Пробег 28000ML/ 45 т км.
Отличная комплектация: Панорама, память сидений, подогрев сидений, адаптивный свет, бесключевой доступ на всех дверях, диски 19' с новой резиной, электрорегулировка водительского и пассажирского сидений. Адаптивный круиз контроль, дистроник, удержание в полосе, предупреждение столкновений.
Состояние нового авто.
Аукционная история по запросу,
Повреждения минимальные!
Стоимость всего 3,2млн. под
🗝
(торг
🇬🇪
)
# 61_1181415ИС"
138,https://t.me/AutoWorld_Georgia/138,2025-09-18T12:39:58+00:00,,KIA,K5 GT Line,2022,,"77.300 км. АВТОМОБИЛЬ БЕЗ ОКРАСОВ, замена крышки багажника, ВСЯ БЕЗОПАСНОСТЬ ЗАВОДСКАЯ","1.6 турбо,коробка автомат восьми ступенчатый, Мощность 180 л.с передний привод, пробег 77.300 км. АВТОМОБИЛЬ БЕЗ ОКРАСОВ, замена крышки багажника, ВСЯ БЕЗОПАСНОСТЬ ЗАВОДСКАЯ",180.0,,"автомат восьми ступенчатый, Мощность 180 л.с передний привод, пробег 77.300 км. АВТОМОБИЛЬ БЕЗ ОКРАСОВ, замена крышки багажника, ВСЯ БЕЗОПАСНОСТЬ ЗАВОДСКАЯ",", пробег 77.300 км. АВТОМОБИЛЬ БЕЗ ОКРАСОВ, замена крышки багажника, ВСЯ БЕЗОПАСНОСТЬ ЗАВОДСКАЯ",ЗАВОДСКАЯ,,,,,,,,,,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/main-1790167888903-main-1-b8c8c13b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167889875-other-2-2231e357.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167890815-other-3-84cdb8f5.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167891763-other-4-3d210299.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167892529-other-5-2cc50463.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167893028-other-6-1b461918.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167893780-other-7-999474cd.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167894588-other-8-b8f7b890.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167895434-other-9-93694ba9.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-138/other-1790167896240-other-10-4efa7c5d.jpg,"KIA K5 GT Line 2022
Двигатель 1.6 турбо,коробка автомат восьми ступенчатый, Мощность 180 л.с передний привод, пробег 77.300 км. АВТОМОБИЛЬ БЕЗ ОКРАСОВ, замена крышки багажника, ВСЯ БЕЗОПАСНОСТЬ ЗАВОДСКАЯ
👍
БЕЗ ПРОБЕГА ПО РОССИИ
🔥
ПОД КЛЮЧ В РОССИИ С РАСТАМОЖКОЙ, ДОСТАВКОЙ И ЛАБОРАТОРИЕЙ 2.250.000
🪙"
177,https://t.me/AutoWorld_Georgia/177,2025-09-20T08:47:27+00:00,,,,2021,,69.500 км.,2.0 турбо коробка автомат,261.0,,автомат,Пробег 69.500 км.,ЗАВОДСКАЯ,,,,,,,,,,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-177/main-1790167896952-main-1-2cad5b59.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-177/other-1790167897698-other-2-8ae4b8f5.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-177/other-1790167898138-other-3-18fb1236.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-177/other-1790167898559-other-4-de39fb73.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-177/other-1790167899317-other-5-064e9f6f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-177/other-1790167899801-other-6-18e7925c.jpg,"2021 INFINITI QX50, LUXE AWD
Двигатель 2.0 турбо коробка автомат
Мощность 261 л.с полный привод
Пробег 69.500 км.
👍
Автомобиль в Заводском окрасе ВСЯ БЕЗОПАСНОСТЬ ЗАВОДСКАЯ
👍
ПОД КЛЮЧ В РОССИИ С РАСТАМОЖКОЙ, ДОСТАВКОЙ И ЛАБОРАТОРИЕЙ 2.900.000
🪙"
189,https://t.me/AutoWorld_Georgia/189,2025-09-21T13:21:57+00:00,,Subaru,Outback Limited,2022,,84000км (52 500 ml),надежный атмосферник 2.5л на 182л.с.,182.0,,,полный AWD для уверенности на любом покрытии!,целая!!!,из качественной кожи,,,,,,,,,,"🚀
🌟
Subaru Outback Limited 10/22г.
🚗
✨
🔹
Пробег: 84000км (52 500 ml)
🔹
Двигатель: надежный атмосферник 2.5л на 182л.с.
💨
🔹
Привод: полный AWD для уверенности на любом покрытии!
🌧
🏞
🔹
Кузов в идеальном состоянии – ""в родне""!
🚘
👌
🔹
Безопасность целая!!!
🔐
🔹
Салон из качественной кожи
🛋
📜
История автомобиля минимальная (бампера), предоставлю по запросу!
💰
Цена: всего 2,790,000 руб. под ключ!
🔑
🔎
02МА1183274ИС"
199,https://t.me/AutoWorld_Georgia/199,2025-09-23T03:28:27+00:00,,BMW,X3 Xdrive30i,2021,,79000км (49 000 ml),2.0turbo на 248л.с.,248.0,,,полный AWD для уверенности на любом покрытии!,целая!!!,из качественной кожи,,,,,,,23090413,,,"🚀
🌟
BMW X3 Xdrive30i 03/21г.
🚗
✨
🔹
Пробег:  79000км (49 000 ml)
🔹
Двигатель:  2.0turbo на 248л.с.
💨
🔹
Привод: полный AWD для уверенности на любом покрытии!
🌧
🏞
🔹
Кузов  –95% ""в родне""!
🚘
👌
🔹
Безопасность целая!!!
🔐
🔹
Салон из качественной кожи
🛋
📜
Аукционная история минимальная (незначительно сзади), предоставлю по запросу!
💰
Цена: всего 3,570,000 руб. под ключ!
🔑
🔎
WA_23090413РР"
210,https://t.me/AutoWorld_Georgia/210,2025-09-23T03:57:03+00:00,,Volkswagen,Jetta SEL,2021,,125000км,"надежная 1,4-турба на 147л.с.",147.0,,,FWD,целая!!!,из качественной кожи,,,,,,,,,,"🚀
🌟
Volkswagen Jetta SEL 08/21г.
🚗
✨
🔹
Пробег: 125000км
🔹
Двигатель: надежная 1,4-турба на 147л.с.
🐎
💨
🔹
Привод: FWD
🏞
🔹
Кузов в идеальном состоянии – ""в родне""!
🚘
👌
🔹
Безопасность целая!!!
🔐
🔹
Салон из качественной кожи
🛋
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 1,800,000 руб. под ключ!
🔑
🔎
02МА1183973ИС"
220,https://t.me/AutoWorld_Georgia/220,2025-09-23T04:31:44+00:00,,Chevrolet,Equinox LT,2022,,25400км,"1,5turbo на 174л.с.",174.0,,АКПП-6,полный AWD для уверенности на любом покрытии!,целая!!!,из текстиля,,,,,,,23090506,,,"🚀
🌟
Chevrolet Equinox LT 08/22г.
🚗
✨
🔹
Пробег:  25400км
👍
🔹
Двигатель:  1,5turbo на 174л.с.
🐴
💨
🔹
Коробка: АКПП-6
🔹
Привод: полный AWD для уверенности на любом покрытии!
🌧
🏞
🔹
Кузов : Окрас капот, крыло
🚘
👌
🔹
Безопасность целая!!!
🔐
🔹
Салон из текстиля
🕷
🛋
💰
Цена: всего 2,150,000
🇷🇺
под ключ!
🔑
🔎
АИГ23090506РР"
